country,count,lon,lat,weight,origin
Canada,3,-98.31606295,61.37312602,0.063829787,O
Sri Lanka,1,80.7035495,7.61573833,0.021276596,O
Sweden,21,16.75289398,62.78917387,0.446808511,O
France,14,-2.77052452,42.17160095,0.29787234,O
USA,33,-112.4931067,45.68715961,0.70212766,O
Netherlands,25,5.21412054,52.06812055,0.531914894,O
Malaysia,5,109.6977023,3.79239687,0.106382979,O
China,2,103.8249104,36.56127654,0.042553191,O
Ethiopia,7,39.60055108,8.62295174,0.14893617,A
South Africa,47,25.08773292,-29.00105188,1,A
Finland,3,26.27098883,64.49528534,0.063829787,O
UK,42,-2.8864099,54.14678254,0.893617021,O
Zimbabwe,5,29.85188462,-19.00253671,0.106382979,A
Spain,9,-3.65680212,40.23690054,0.191489362,O
Australia,7,134.4925719,-25.73236473,0.14893617,O
Cameroon,19,12.73708339,5.69312773,0.404255319,A
Central African Republic,1,20.46480872,6.56632137,0.021276596,A
Belgium,2,4.64012138,50.63740613,0.042553191,O
Kenya,23,37.79622573,0.59808146,0.489361702,A
Tanzania,11,34.81314561,-6.27505027,0.234042553,A
Ghana,6,-1.21646616,7.95379716,0.127659574,A
Germany,36,10.38154835,51.10621317,0.765957447,O
Austria,9,14.13067289,47.58565692,0.191489362,O
Denmark,5,10.05066968,55.96471679,0.106382979,O
Mali,4,-3.53907938,17.34416278,0.085106383,OA
Niger,1,9.38603447,17.41846424,0.021276596,A
DRC,2,23.64584865,-2.87959293,0.042553191,A
Indonesia,6,117.2721054,-2.22083111,0.127659574,O
Switzerland,3,8.2153826,46.79902293,0.063829787,O
Argentina,2,-65.17821792,-35.38269629,0.042553191,O
Brazil,6,-53.093972,-10.78278082,0.127659574,O
Dominican Republic,1,-70.49627229,18.89620449,0.021276596,O
India,2,79.61221374,22.88736601,0.042553191,O
Norway,1,15.41245003,68.79639971,0.021276596,O
Philippines,1,122.8747136,11.76338277,0.021276596,O
Côte d’Ivoire,3,-5.56901056,7.62783904,0.063829787,A
Bangladesh,1,90.24338951,23.84284613,0.021276596,O
Malawi,3,34.2899078,-13.21722587,0.063829787,A
Czech Republic,2,15.3141031,49.73244821,0.042553191,O
Senegal,6,-14.47102989,14.36779409,0.127659574,A
Sudan,1,29.93938333,15.9867575,0.021276596,A
Benin,1,2.32873763,9.64120833,0.021276596,A
Italy,3,12.07213695,42.78624892,0.063829787,O
Uganda,1,32.36703985,1.27569119,0.021276596,A
Zambia,1,27.77421234,-13.46011002,0.021276596,A
Japan,6,137.9925353,37.55590074,0.127659574,O
Namibia,1,17.21079623,-22.128669,0.021276596,A
Mozambique,3,35.53752578,-17.27037614,0.063829787,A
Portugal,2,-8.59208959,39.58567981,0.042553191,O
Nigeria,1,8.09150439,9.59696812,0.021276596,A
Cuba,1,-79.03330319,21.62469202,0.021276596,O
Nepal,1,83.91625313,28.2479223,0.021276596,O
New Zealand,1,171.4701357,-41.82547243,0.021276596,O
Ukraine,1,31.38585497,48.99724978,0.021276596,O
