"country","count","lon","lat","weight","Authorship"
"Canada",3,-98.31606295,61.37312602,0.0810810810810811,"Co-author"
"Sri Lanka",1,80.7035495,7.61573833,0.027027027027027,"Co-author"
"Sweden",16,16.75289398,62.78917387,0.432432432432432,"Co-author"
"France",11,-2.77052452,42.17160095,0.297297297297297,"Co-author"
"Netherlands",18,5.21412054,52.06812055,0.486486486486487,"Co-author"
"Malaysia",4,109.69770226,3.79239687,0.108108108108108,"Co-author"
"China",2,103.82491043,36.56127654,0.0540540540540541,"Co-author"
"Ethiopia",6,39.60055108,8.62295174,0.162162162162162,"Co-author"
"South Africa",37,25.08773292,-29.00105188,1,"Co-author"
"USA",25,-112.49310668,45.68715961,0.675675675675676,"Co-author"
"Finland",3,26.27098883,64.49528534,0.0810810810810811,"Co-author"
"UK",33,-2.8864099,54.14678254,0.891891891891892,"Co-author"
"Zimbabwe",4,29.85188462,-19.00253671,0.108108108108108,"Co-author"
"Spain",7,-3.65680212,40.23690054,0.189189189189189,"Co-author"
"Australia",5,134.49257185,-25.73236473,0.135135135135135,"Co-author"
"Cameroon",16,12.73708339,5.69312773,0.432432432432432,"Co-author"
"Central African Republic",1,20.46480872,6.56632137,0.027027027027027,"Co-author"
"Belgium",1,4.64012138,50.63740613,0.027027027027027,"Co-author"
"Tanzania",9,34.81314561,-6.27505027,0.243243243243243,"Co-author"
"Ghana",4,-1.21646616,7.95379716,0.108108108108108,"Co-author"
"Germany",27,10.38154835,51.10621317,0.72972972972973,"Co-author"
"Austria",7,14.13067289,47.58565692,0.189189189189189,"Co-author"
"Denmark",5,10.05066968,55.96471679,0.135135135135135,"Co-author"
"Mali",4,-3.53907938,17.34416278,0.108108108108108,"Co-author"
"Niger",1,9.38603447,17.41846424,0.027027027027027,"Co-author"
"DRC",2,23.64584865,-2.87959293,0.0540540540540541,"Co-author"
"Indonesia",5,117.2721054,-2.22083111,0.135135135135135,"Co-author"
"Kenya",17,37.79622573,0.59808146,0.459459459459459,"Co-author"
"Switzerland",3,8.2153826,46.79902293,0.0810810810810811,"Co-author"
"Argentina",2,-65.17821792,-35.38269629,0.0540540540540541,"Co-author"
"Brazil",5,-53.093972,-10.78278082,0.135135135135135,"Co-author"
"Dominican Republic",1,-70.49627229,18.89620449,0.027027027027027,"Co-author"
"Norway",1,15.41245003,68.79639971,0.027027027027027,"Co-author"
"Philippines",1,122.87471361,11.76338277,0.027027027027027,"Co-author"
"Côte d’Ivoire",2,-5.56901056,7.62783904,0.0540540540540541,"Co-author"
"Bangladesh",1,90.24338951,23.84284613,0.027027027027027,"Co-author"
"Malawi",3,34.2899078,-13.21722587,0.0810810810810811,"Co-author"
"Czech Republic",1,15.3141031,49.73244821,0.027027027027027,"Co-author"
"Senegal",5,-14.47102989,14.36779409,0.135135135135135,"Co-author"
"Sudan",1,29.93938333,15.9867575,0.027027027027027,"Co-author"
"Benin",1,2.32873763,9.64120833,0.027027027027027,"Co-author"
"Italy",3,12.07213695,42.78624892,0.0810810810810811,"Co-author"
"Uganda",1,32.36703985,1.27569119,0.027027027027027,"Co-author"
"Zambia",1,27.77421234,-13.46011002,0.027027027027027,"Co-author"
"Japan",5,137.99253526,37.55590074,0.135135135135135,"Co-author"
"Namibia",1,17.21079623,-22.128669,0.027027027027027,"Co-author"
"Mozambique",3,35.53752578,-17.27037614,0.0810810810810811,"Co-author"
"Portugal",2,-8.59208959,39.58567981,0.0540540540540541,"Co-author"
"Nigeria",1,8.09150439,9.59696812,0.027027027027027,"Co-author"
"Cuba",1,-79.03330319,21.62469202,0.027027027027027,"Co-author"
"India",1,79.61221374,22.88736601,0.027027027027027,"Co-author"
"Nepal",1,83.91625313,28.2479223,0.027027027027027,"Co-author"
"New Zealand",1,171.47013574,-41.82547243,0.027027027027027,"Co-author"
"Ukraine",1,31.38585497,48.99724978,0.027027027027027,"Co-author"
"Sweden",5,16.75289398,62.78917387,0.135135135135135,"First author"
"France",3,-2.77052452,42.17160095,0.0810810810810811,"First author"
"USA",8,-112.49310668,45.68715961,0.216216216216216,"First author"
"Netherlands",7,5.21412054,52.06812055,0.189189189189189,"First author"
"Malaysia",1,109.69770226,3.79239687,0.027027027027027,"First author"
"Ethiopia",1,39.60055108,8.62295174,0.027027027027027,"First author"
"UK",9,-2.8864099,54.14678254,0.243243243243243,"First author"
"South Africa",10,25.08773292,-29.00105188,0.27027027027027,"First author"
"Zimbabwe",1,29.85188462,-19.00253671,0.027027027027027,"First author"
"Cameroon",3,12.73708339,5.69312773,0.0810810810810811,"First author"
"Kenya",6,37.79622573,0.59808146,0.162162162162162,"First author"
"Ghana",2,-1.21646616,7.95379716,0.0540540540540541,"First author"
"Spain",2,-3.65680212,40.23690054,0.0540540540540541,"First author"
"Germany",9,10.38154835,51.10621317,0.243243243243243,"First author"
"Tanzania",2,34.81314561,-6.27505027,0.0540540540540541,"First author"
"Austria",2,14.13067289,47.58565692,0.0540540540540541,"First author"
"Indonesia",1,117.2721054,-2.22083111,0.027027027027027,"First author"
"India",1,79.61221374,22.88736601,0.027027027027027,"First author"
"Belgium",1,4.64012138,50.63740613,0.027027027027027,"First author"
"Brazil",1,-53.093972,-10.78278082,0.027027027027027,"First author"
"Czech Republic",1,15.3141031,49.73244821,0.027027027027027,"First author"
"Côte d’Ivoire",1,-5.56901056,7.62783904,0.027027027027027,"First author"
"Senegal",1,-14.47102989,14.36779409,0.027027027027027,"First author"
"Australia",2,134.49257185,-25.73236473,0.0540540540540541,"First author"
"Japan",1,137.99253526,37.55590074,0.027027027027027,"First author"
